product_code,product-type
Prod001,OwnBrand
Prod002,OwnBrand
Prod003,OwnBrand
Prod004,OwnBrand
Prod005,OwnBrand
Prod006,OwnBrand
Prod007,OwnBrand
Prod008,OwnBrand
Prod009,OwnBrand
Prod010,OwnBrand
Prod011,OwnBrand
Prod012,OwnBrand
Prod013,OwnBrand
Prod014,OwnBrand
Prod015,OwnBrand
Prod016,OwnBrand
Prod017,OwnBrand
Prod018,OwnBrand
Prod019,OwnBrand
Prod020,OwnBrand
Prod021,OwnBrand
Prod022,Distrubition
Prod023,Distrubition
Prod024,Distrubition
Prod025,Distrubition
Prod026,Distrubition
Prod027,Distrubition
Prod028,Distrubition
Prod029,Distrubition
Prod030,Distrubition
Prod031,Distrubition
Prod032,Distrubition
Prod033,OwnBrand
Prod034,OwnBrand
Prod035,OwnBrand
Prod036,OwnBrand
Prod037,OwnBrand
Prod038,OwnBrand
Prod039,OwnBrand
Prod040,OwnBrand
Prod041,OwnBrand
Prod042,OwnBrand
Prod043,OwnBrand
Prod044,OwnBrand
Prod045,OwnBrand
Prod046,OwnBrand
Prod047,OwnBrand
Prod048,OwnBrand
Prod049,OwnBrand
Prod050,OwnBrand
Prod051,OwnBrand
Prod052,OwnBrand
Prod053,OwnBrand
Prod054,OwnBrand
Prod055,OwnBrand
Prod056,OwnBrand
Prod057,OwnBrand
Prod058,OwnBrand
Prod059,OwnBrand
Prod060,OwnBrand
Prod061,OwnBrand
Prod062,OwnBrand
Prod063,OwnBrand
Prod064,OwnBrand
Prod065,OwnBrand
Prod066,Distrubition
Prod067,Distrubition
Prod068,Distrubition
Prod069,Distrubition
Prod070,Distrubition
Prod071,Distrubition
Prod072,Distrubition
Prod073,Distrubition
Prod074,Distrubition
Prod075,Distrubition
Prod076,Distrubition
Prod077,Distrubition
Prod078,OwnBrand
Prod079,OwnBrand
Prod080,OwnBrand
Prod081,OwnBrand
Prod082,OwnBrand
Prod083,OwnBrand
Prod084,OwnBrand
Prod085,OwnBrand
Prod086,OwnBrand
Prod087,OwnBrand
Prod088,OwnBrand
Prod089,OwnBrand
Prod090,OwnBrand
Prod091,OwnBrand
Prod092,OwnBrand
Prod093,OwnBrand
Prod094,OwnBrand
Prod095,OwnBrand
Prod096,OwnBrand
Prod097,OwnBrand
Prod098,OwnBrand
Prod099,OwnBrand
Prod100,OwnBrand
Prod101,OwnBrand
Prod102,OwnBrand
Prod103,OwnBrand
Prod104,OwnBrand
Prod105,OwnBrand
Prod106,OwnBrand
Prod107,OwnBrand
Prod108,OwnBrand
Prod109,OwnBrand
Prod110,Distrubition
Prod111,Distrubition
Prod112,Distrubition
Prod113,Distrubition
Prod114,Distrubition
Prod115,Distrubition
Prod116,Distrubition
Prod117,Distrubition
Prod118,Distrubition
Prod119,Distrubition
Prod120,Distrubition
Prod121,Distrubition
Prod122,OwnBrand
Prod123,OwnBrand
Prod124,OwnBrand
Prod125,OwnBrand
Prod126,OwnBrand
Prod127,OwnBrand
Prod128,Distrubition
Prod129,Distrubition
Prod130,Distrubition
Prod131,Distrubition
Prod132,Distrubition
Prod133,OwnBrand
Prod134,OwnBrand
Prod135,OwnBrand
Prod136,OwnBrand
Prod137,OwnBrand
Prod138,OwnBrand
Prod139,OwnBrand
Prod140,OwnBrand
Prod141,OwnBrand
Prod142,OwnBrand
Prod143,Distrubition
Prod144,Distrubition
Prod145,Distrubition
Prod146,Distrubition
Prod147,Distrubition
Prod148,OwnBrand
Prod149,OwnBrand
Prod150,OwnBrand
Prod151,OwnBrand
Prod152,OwnBrand
Prod153,OwnBrand
Prod154,OwnBrand
Prod155,OwnBrand
Prod156,OwnBrand
Prod157,OwnBrand
Prod158,Distrubition
Prod159,Distrubition
Prod160,Distrubition
Prod161,Distrubition
Prod162,Distrubition
Prod163,OwnBrand
Prod164,OwnBrand
Prod165,OwnBrand
Prod166,OwnBrand
Prod167,OwnBrand
Prod168,OwnBrand
Prod169,OwnBrand
Prod170,OwnBrand
Prod171,OwnBrand
Prod172,OwnBrand
Prod173,Distrubition
Prod174,Distrubition
Prod175,Distrubition
Prod176,Distrubition
Prod177,Distrubition
Prod178,OwnBrand
Prod179,OwnBrand
Prod180,OwnBrand
Prod181,OwnBrand
Prod182,OwnBrand
Prod183,OwnBrand
Prod184,OwnBrand
Prod185,OwnBrand
Prod186,OwnBrand
Prod187,OwnBrand
Prod188,Distrubition
Prod189,Distrubition
Prod190,Distrubition
Prod191,Distrubition
Prod192,Distrubition
Prod193,OwnBrand
Prod194,OwnBrand
Prod195,OwnBrand
Prod196,OwnBrand
Prod197,OwnBrand
Prod198,OwnBrand
Prod199,OwnBrand
Prod200,OwnBrand
Prod201,OwnBrand
Prod202,OwnBrand
Prod203,Distrubition
Prod204,Distrubition
Prod205,Distrubition
Prod206,Distrubition
Prod207,Distrubition
Prod208,OwnBrand
Prod209,OwnBrand
Prod210,OwnBrand
Prod211,OwnBrand
Prod212,OwnBrand
Prod213,OwnBrand
Prod214,OwnBrand
Prod215,OwnBrand
Prod216,OwnBrand
Prod217,OwnBrand
Prod218,Distrubition
Prod219,Distrubition
Prod220,Distrubition
Prod221,Distrubition
Prod222,Distrubition
Prod223,OwnBrand
Prod224,OwnBrand
Prod225,OwnBrand
Prod226,OwnBrand
Prod227,OwnBrand
Prod228,OwnBrand
